,문장
306,씾홍어 왓노
307,패배자 ㅋㅋ
308,누가 아바타 소리를 내었는가?ㅋㅋㅋㅋㅋㅋㅋㅋ
309,친일토착왜구간첩이 있나?
310,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
311,와 김대중이 싼 똥이 드디어 터졌네. 자그마치 30년된 똥이다 ㄷㄷㄷㄷ.
312,윤대통령 탄핵이냐~!!!!마눌라 그거 그거는 명품백은 전혀 관심없음~!이건 곤란하지~!!!!!!
313,ㅋㅋㅋ  - dc App
314,ㅋㅋㅋ  - dc App
315,박 지훈 ok.
316,정답
317,박정희 후장빨던 병신들이지.
318,실제로 지지층중에 상당수가 신천지 등 사이비 신도들 + 틀튜브에 중독된 치매노인들임
319,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
320,40년간 남자 밟고 괴롭힌 페미들. 한국페미들 외국에 조리돌림 좀 해주자 ㅋㅋ
321,무슨 내용이죠? 국결방해라는게?
322,여가부가 뭐 법으로 국결 금지라도 한다고 했나요?
323,https://gall.dcinside.com/board/view/?id=neostock&no=4778601
324,https://gall.dcinside.com/board/view/?id=neostock&no=4827081&
325,국결 까는 여론 암암리에 조장하는 페미들 https://gall.dcinside.com/board/view/?id=neostock&no=4823449
326,변희재야   쳐 맞기 싫으면 호남 근처 오지 말어라 ㅋㅋㅋ
327,정확힌 문재인때 올려놓은거 다 까먹고 있음
328,앞으로가 더더 암울
329,3년이나 남았다 진짜 완전히 망했어
330,에휴
331,그래서 담배값 올리려고 떠들고있는거구나 세수 채우려고
332,윤재앙 잘하네
333,2찍들이하는짓이그렇지 IMF도 터트리고 잘하는짓이다
334,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
335,고발사주 윗선 배후는 누굴까?
336,윤석열은 검찰을 사유화했나?
337,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
338,사직구장 근처 어느 장소인지 특정하고 그때 그 자리에서 티비로 야구를 봤다는 증거를 지가 대면 되겠네
339,보편적이고 상식적인 사회적 통념에 어긋나는 해석이십니다
340,빻은 얼굴을 가진 대머리답네
341,개시부랄새키뒤질때 까지 말장난만 하네
342,와씨 선거비 보전도 못받았네 변희재묻으면....알지?
343,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
344,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
345,아...
346,이건 크다
347,탄핵
348,유족에 대한 모욕 아닌가?
349,ㅋㅋㅋ  - dc App
350,미쳤네
351,솔까 맞는말이지
352,대따엄벌주의 ㅎㄷㄷ
353,노욕이 무섭다
354,정치에 미치면 사람이 저리됨
355,덫에 걸린 짐승이니까 개사과해야지
356,약점 뭐 많이 잡혀 있나보지
357,반인륜 비정한 정권
358,더있음 1 러시아 언론 취재한다
359,2 일본에서 탐사 취재 전문 기자 온다 ㅋㅋㅋㅋㅋㅋㅋ
360,박그네가 얼마나 병신인지만 전세계에 알려질뿐이지 이래서 박이 변똥 만나주지도 않는거임 탄핵들춰내면낼수록 박그네가 얼마나 무능하고 사람관리 못하는지만 계속 드러남ㅋㅋㅋㅋ
361,대통 몰아 내는데 300 밖에 투자 않 하는 것은 너무 한 거 아니냐 ㅋㅋㅋ너무 쉽게 생각 하고 사는데....  - dc App
362,"====[단독] 한동훈 국힘 비서실장 장인, 중공 간부說 확산스카이데일리2023. 12. 28. — 중국 국적의 조선족 아내에게 김 비서실장이 직접 한국 국적 취득을 만류했다는 이야기가 있는가 하면 장인이 중국공산당 간부였다는 의혹까지 겹치며 ...====한동훈/생애나무위키— 아버지 한명수 · 장인 진형구. 활동. 정책 · 한동훈 법무부장관 후보자 ...===="
363,중국 성씨 진.
364,청부수사 했다.김 명수의 수사의뢰?대법원이 조시해도 별것 없으니 문 재인의 지시에한 동훈에 청부의뢰 했다.윤 석열이면 잡을 수 있을 것이다.
365,그 날조 수사한게  윤썩창
366,이거 보니까 생각나는게
367,"난 정치갤에서, 윤석열이 대통령되기 전까지는 사람에게 쓰레기라는 말을 해 본적이 없는데, 윤석열은 걍 쓰레기.ㅉㅉ  - dc App"
368,"윤석열을 탄핵 안 하면,한국 국민들은 세계적으로 비웃음거리가 됨. 멍청한 국민들이 가득찬 나라인 줄 앎.  - dc App"
369,이상민 탄핵된다더니 9대 떡 기각 ㅋㅋㅋㅋㅋㅋㅋ 뭔 특별법????
370,여긴그냥 찌꺼기들 모여있는데구나 ..ㅋㅋㅋ지능들이참ㅋㅋ
371,니애미다 ㅂㅅ개새끼야    - dc App
372,어쩌다 맞은거도 계속 말바꾸면서 하나 얻어걸린거고  완전 반댓말 동시에 해놓고 둘중에 하나 맞는거 들고와서 우리교주 무조건 믿으라고 전도하는거극소수 광신도 할매들이 ㅈㄴ 끈질기게 들러붙는다고 소름끼치게   - dc App
373,세기와더불어우리북한당의 레밍증후군 지지자들은 그저 우두머리레밍 레명이만 따라가면 되는 것
374,ㅋㅋ총선 국힘 개쳐망할텐데
375,태극기할모니들이 할일이 없으니까 은근히 정치에 미쳐서 여생을 보냄
376,조남욱라인  - dc App
377,홍석현 똥개
378,퇴임후 먹방 유튜버 확정 - dc App
379,좌좀들 비명은 괜찮아
380,일본은 지금도 오염수 방류하는데 문제 있디??? ㅋㅋㅋㅋㅋㅋㅋㅋ 또 1찍들 선동이었음
381,세상 물정 하나도 모르는 사시 9수 검사의 최후
382,"윤석열을 빨리 탄핵해야,국민의힘도 새로운 정비를 하는데 시간이 여유로울 듯.윤석열은 국민의힘 총선에도 도움이 안되는 인간이라는건 이미 드러났음.국민의힘도 탄핵에 찬성표를 던지길 바라네.  - dc App"
383,그나물의 그밥들 저출산시대에 국회의원들 수 감축해야한다 세금펑펑혈세가 낭비되고있다!
384,ㅋㅋㅋㅋㅋ변희재 탈출은 지능순
385,지는 4차원논리 나불나불 다틀려놓고 사과없이 넘어가면서 남한텐 틀리면 뭐걸라 정치인생걸라ㅇㅈㄹ
386,변가는 선거때만 되면 망상 on~
387,문재인이 지 심복 윤석열과 한동훈을 보수에 심어뒀으니 영 틀린 예측은 아님
388,선거때 더 도지는 정신병거짓말 사기로 돌대가리 할매들 돈뜯는 치트키지말 맞은적도 없고 맨날 득표도 처참한데 지가 무슨 브레인 ㅇㅈㄹ 하고 자빠짐   - dc App
389,문재앙 숙원 리스트 하나하나 완성시키고 있는 윤두창 정부 아직도 모르면 병신
390,영구 집권 같은 소리하네 이재명이 대통령 할려고 하는데 변희재 어디 아프냐 ㅋㅋ
391,"저 인간, 22년 초여름부터,,윰석렬 22/11월이면 지지율 10%대 되고  탄핵으로 쫒겨난다,,설레발ㅋㅋ"
392,좌빨들이 조작해서 준거라고는 안함?
393,zz  - dc App
394,여기는 중정갤보다 정보가 늦노. - dc App
395,적반하장 후한무치 국힘당ㅋㅋㅋㅋㅋㅋ
396,ㅇㅇ뻔뻔 그자체
397,거기다가 박전대통령도 이용해먹으려고 하자나
398,아주 개씹쌔끼임 차라리 민주당가서 정의로운척하지
399,"====북핵! 韓, 결단의 시간이 왔다! 어떻게?신인균의 국방TV구독자 121만명15분 전....https://youtu.be/WMSC77_uvUw"
400,이미 병신되었는데 지들만 깨닫질 못함
401,국짐은 이념정당이 아닌 권력추종세력
402,쓰레기야 숨쉬는것도 아깝다 산책하다 살해당해뒤져라  - dc App
403,한동훈이었어~!!재미있네~!
404,한동훈의 실체였단 말인가~!!
405,ㅇㅇ
406,싸우는거 백퍼 쇼임
407,보수파괴자들
408,엄밀히 말하면 천공보다는 홍석현으로 봐야함. 이놈이 미국 민주당 유대 PC라인에 줄대고 있는놈임. 바이든 쪽에
409,줄을 서시오 북방 or 서방 중간은 없소 선택에 따라 운명이 바뀔 뿐... 디지털 시대라 모든 것이 기록된다. 기록된 모든것이 수집되어 당신을 가를 것이다. 후회 할 짓은 하지마라.  - dc App
410,천공맞음. - dc App
411,홍석현이 김태효 시켜서 윤석열 조종
412,푸틴방북소식에 한국이 뭔가 했을 가능성이 크다.. 가면 너랑 끝임 이정도는 되지않을까??
413,윤석열 제발 좀 끌어내라
414,북한 대상으로 러시아를 우리편으로 끌어들여도 모자를 판에 러시아를 전쟁판에 끌어들이려고 하네 미친 새끼
415,북한 무기 사가면서 북한이 실아나고 있다.적의 친구는 적이다.  - dc App
416,우크라이나도 승리 여셀몰아 남한 까지.
417,자꾸 정치적으로 해석하려고 하면 니들 국민들한테 역풍 쳐맞음 윤빠들아 낄낄빠빠좀 해라
418,거기다가 이미 이수정이 여혐 프레임으로 니들 조져놨고
419,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
420,ㅋ
421,상대도 ㅂㅅ이고 촛불들어서 난게 이꼴이라서
422,그 대표적인 돌연변이가 뉴라이트 아니노?
423,차라리 좌파는 대처하기 쉬움. 뻔히 아니깐... 저런 사꾸라들이 문제걸랑. 진짜 보수도 아녀.
424,"박정희, 이승만이 지금 뉴라이트 하는 꼬라지를 보면 분기탱천하고 있을 걸?"
425,북한엔 무오류최고돼엄 똥돼지네....남한엔 무오류최고5.18엄
426,윤석열 한동훈
427,문재인이 하던거 윤석열이 반대로 하는거임양극단으로.. 정권교체는 신당에서 하는거로ㄱㄱ
428,R&D 줄삭감한 거 몰라? 카르텔 혁파한다나 뭐다나... 밀린 임금 주기 싫어서 밀린 임금보다 더 많은 수임료를 써가면서 재판 가고 있지?
429,좆같은 윤석열
430,나중에 용산 이전 수의계약 보면 깜놀할거다. - dc App
431,리베이트 없어 그럼 안해.우크라이나 오케이.
432,보수과표집 ㅋㅋㅋㅋ
433,실제 민심은 최소 7:3임.
434,협박이 아니라  정중하게 권유 ㅋㅋ
435,협박은 무슨...교수가 유권자의 의견을 모르나?
436,엄마가 공부하란 소리도 협박으로 들을 거 같네ㅋㅋㅋㅋㅋㅋㅋㅋ
437,지들은 손해 안보고 미래 세대한테만 연금부담을 지우려 하는 틀딱들이 미래 세대를 위해 꼭 해야할 일이라네 ㅋ
438,칼로 찌르면 습격 짱돌로 까면 테러!
439,기레기도 설치고견찰들도 설치고이수정도 설치고
440,헬기보다 났지. 국개한마리가 대통령보다 국비대우 받았는데...
441,사과말고 수사는 언제해?ㅋㅋㅋㅋㅋ
442,글로벌 돋보이게 되었네ㅋㅋㅋㅋㅋㅋㅋㅋ
443,ㄹㅇ
444,팩폭 ㅋㅋㅋㅋ
445,총선은 국힘 운석열 한동훈 대패
446,하...............
447,칼로 목을 찔린 사건을 중대범죄 아니라고 하고현장도 치우는 수준의 경찰이 무서울리 있나?
448,개더럽다
449,ㅋㅋ 가짜 친박이었음
450,딱 조원진 수준  - dc App
451,근혜한테 까이고 건희한테 충성해봐야 뭐 나오겠냐?
452,ㅋㅋ  - dc App
453,심각하네
454,개츄 ㅋㅋㅋㅋ  - dc App
455,"친박들이 박근혜 구치소 있을 때, 건강 등이 걱정 되어서 면회 신청했는데 유영하가 거절해서 심하게 다투었다고함. 그래서 친박들과 사이 안좋다고"
456,"면회 신청도 거절, 편지도 유영하 통해서 보냈는데 거절했다는 말들이 많음. 박근혜와 친박들 사이가 안좋은게 아니라 유영하와 친박들 사이가 아주 안좋다고 함. 박근혜는 5년 동안 친박들이 자기를 버렸다고 오해하고 있다고 함"
457,"조원진 ""김건희 여사에 대한 일방적 마녀사냥 반대""우리공화당, 23일 김건희 여사에 대한 몰카범죄 수사 촉구“함정몰카로 국민 선동하는 것 옳지 않아”“김건희 여사를 마리 앙투아네트로 비유한 김경율 비대위원 스스로 사퇴하는 것이 맞아”우리공화당이 윤석열 대통령 부인 김건희 여사의 명품백 수수 논란과 관련, 김건희 여사에 대한 일방적 마녀사냥에 반대의 뜻을 밝혔다. 우리공화당 조원진 당대표는 23일(화) 보도자료를 내고 “김건희 여사의 명품백 수수 논란의 핵심은 당연히 몰카범죄이고, 정치공작 여부이다”면서 “좌파세력들이 치밀하게 기획해서 손목시계에 장착된 몰래카메라로 영상을 찍어서 국민을 선동하는 것은 결코 옳지 않다”고 말했다."
458,경기도 법카 타령한 2찍들이 부끄럽다 ㅋㅋㅋㅋ
459,문재인 호불호 떠나 적폐라는게 바로 저런거임
460,거니 피셜 항문견=마귀 ㅋㅋㅋㅋㅋㅋㅋ
461,우파를 붕괴시켰다 하기에는 히죄가 우파 주류권에 진입은 못했잖아 ㅋㅋㅋ 주로 우파 비주류계에서 실컷 분탕 분열 일으켰지 그래도 준 주류 정도는 되는 대한 애국당이란 정당 와쿠에 들어가니 홍발정 프레임 덮어씌워 대선 때 네거티브 캠페인에선 능력을 좀 발휘했지 그러고 곧 얘가 깽판 쳐서 애국당 너덜너덜 ㅋ 암튼 얘한테는 그 어떤 힘도 가지게 손 잡아주면 안 됨 얘랑 신당 만든다는 좌파들 진짜 ㅂㅅ들임
462,저옷뭐야ㅈㄴ 혐오스럽네
463,ㅋㅋㅋㅋ  - dc App
464,"림수경(feat,간첩목사와 간첩신부)의 대를이어 '통일의꽃'이 되고 싶은 건히"
465,담배도피나
466,ㅋㅋㅋㅋㅋ씨박ㅋㅋㅋㅋ  - dc App
467,진짜 윤자이크 당함?ㅋㅋ
468,돈에 미친새낀데 뭔 설명이 더 필요하냐!
469,과연 결혼 때문일까? jtbc 재판에서 계속 빤스런 하기 위한 방탄복이 당장 필요하지 않을까? 남을 내세우든 지가 뺏지를 달든 일단 국회 진출하면 내각제 세력 따위 다 날려버리면 된다 지 세상 될 줄 아는거겠지 ㅋ
470,ㄹㅇ 보수에서 돌아다닐땐 다당제 제일 극혐하던 놈이 진보애들상대로 돈땡기는 맛을 본건지 미친듯이 연동형 찬향하는거 역겹더라
471,ㄹㅇ???????
472,ㅋㅋㅋ 연립형 병립형 가지고 매일 방송함
473,요즘 보수가 잘돌아가는 이유가 뭔줄 아냐? 변희재가 좌파로 넘어갔고 이언주도 더불어 찢재명당으로 넘어가서 분탕들이 없어서 내부가 조용하단다 ㅋㅋㅋ
474,ㄹㅇ
475,zzzzzㅋㅋㅋ  - dc App
476,바이든 흉내 ㅋㅋ
477,그냥 서있는것도 병신같네
478,ㅋㅋㅋㅋ  - dc App
479,흉내? 그냥 바보새낀데
480,아 씨발 새끼 - dc App
481,으악 눈배렸어
482,술 취함 ㅋㅋ
483,ㅅㅂ 에휴  - dc App
484,뇌물이면 고발을 해봐 ㅋㅋㅋㅋㅋ왜 못함??
485,박근혜는 존나 생뚱 맞았는데 솔까 김여사는 있다고 해도 그러려니 할듯 과거가 원체 화려하셔서
486,이새끼는 대체 뭐하는 새낄까
487,이새끼는 뭐든 안칠라를 빠는쪽으로 가니까 오류여 ㅋ
488,이 ㅅㅋ 정치암 말기 환자네 ㅋㅋㅋ
489,https://youtu.be/sNcxKl3vO0o?feature=shared
490,저새끼 태블릿 집회서 행진도 하던 놈인데 ㅋㅋ 안정권까다가 꼬랑지 내린 ㅋ
491,"변희재.... 태블릿 반박하고싶으면 튀어나오라더니 진짜 튀어나오니 모르쇠, 상대할가치 없다타령...방송에서 그렇게 김한수 재판장에 튀어나오라더니 진짜 나온다니까 그제서야 지가 재판기피신청서 제출...변희재 탈출은 지능순"
492,빵식인지 빵셔틀 퍼오더니 이젠 붉은매 ㅋㅋ 가지가지한다 수박새끼 진짜
493,네 안사요
494,김건희 사과도 이제 이걸로 전혀 소용도 없겠구만 애초부터 사과로 될일도 아니지만
495,이게 더 총선에 타격줄듯
496,진짜 엄청나게 멍청한놈들이야 어떻게 저런놈들이 검사를 했지
497,총선에서 반드시 심판받음
498,멘탈이 바닥까지 붕괴된 모양 ㅋㅋ
499,도대체 김건희에 쩔쩔 매는 이유가 뭐냐
500,가방에만 이슈모으면 안된다 더 심각한게 주가조작
501,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
502,자칭 보수라는 새끼들이 지지함ㅋㅋㅋㅋ
503,문재앙 윤썩열 이두놈은 한패인데 틀딱들은 인정못함 부들부들 대기만할뿐  - dc App
504,매년 축하 꽃바구니 지극정성이노 ㅋㅋ
505,ㅋㅋㅋㅋㅋㅋ
506,줬겠냐
507,그 인재는?  최 대 집  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
508,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
509,아니 왜나하면 이준석은 쟤 재낀다고 해버리면 바로 재껴버리는거 한번은 겪어봤고 또 작년말에 김기현이 그짝나는거 봤잖아 ㅋㅋ 근데 대놓고 윤두창이 싫어한다던 한동훈을 당에서 감싸는거 보더라도 알지 ㅋㅋ
510,내 이럴줄 알았다 ㅋㅋㅋㅋㅋㅋㅋㅋ
511,어쩐지 냄새 나더라
512,정치 고수 (3회 낙선 후 소속 정당에서 버림 받음)
513,백퍼임
514,'왕진진보 전청조총련진영이 봐야 할 변희재 과거'
515,내가 지금껏 후원한 사람들중 제일 후회되고 돈낭비했다 생각하는게 변희재임
516,ㅋㅋㅋ 저기 변가옆에 있던 사람들 지금 죄다 변가 실체에 데이고 손절하지않았나 ㅋㅋㅋ
517,변희재 퇴출
518,뭐가 좋다고 저렇게 히죽대지?
519,사람고쳐쓰는거 아니니까
520,정잘알이네 ㅋㅋ 그리될듯
521,반박불가 시나리오  - dc App
522,대국민 기만쇼를 누가 인정인정인정하냐?ㅋㅋㅋㅋㅋ
523,팩폭 ㅋㅋㅋㅋㅋ
524,ㅋㅋㅋ  - dc App
525,클린스만이 낫지 어디다 저딴 쓰레기를 비유해
526,카앗!!  - dc App
527,떽    - dc App
528,주체욱일태양통일교 광신도인 재한조총련 재한북괴군(주한북괴군) 사령관 돼명이의 신앙간증 ...
529,ㅋㅋㅋ병신들끼리 참
530,그냥 쑈.
531,빵식아! 형이 미안타...
532,ㄹㅇ ㅋㅋ
533,변희재 퇴출
534,빵님 여기서 이러면 곤란하죠 구독 취소합니다.  - dc App
535,ㅋㅋ 윤석열 한동훈 너네 진짜 문재인 충신들이냐 국민의 힘을 말아 잡숴 드시는구만
536,극좌 음모론 유튜브나 처듣는 똥팔육 성추행연대 믿거
537,그래서 나라 망하게 해서 기분 좋음? 나라 꼬라지 보니까?
538,그래봤자 소수점 차이로 겨우 이겼자나
539,똥돼지핼조선 돼정은이 대한민국을 제1주적이라 선포하자....재한조총련 재한북괴군(주한북괴군) 사령관 돼명이도 '우리북한'이람서 돼정은을 따라서 (대한민국을 제1주적으로) 복창하고 선포
540,대학교육 좀 받고오세요
541,투명하다 투명해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
542,문재인한테 다 보고 배운거지 뭐 내편만 먼저다
543,윤석열을 왜 탄핵 시키는 지 이해못함~!!!!!!!!
544,빨갱이들 법조카르텔이 챙긴거지이죄명 재판연기해주듯이
545,같은편 맞다니까
546,보석금 내고 석방 된건데  개소리 ㅋ
547,지금은 맞고 그때는 틀리다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
548,여윾시 문재앙 부하답노
549,기관총이 뭔지 모름? 문재인때도 똑같은워딩쓰더니 ㅉㅉ
550,입에서 총이라도 쏘나? 입틀어막는거보소 ㅋㅋㅋ
551,힘없는 주차아저씨 차로 들이받던 귀족노조
552,절라도 ㄷㄷㄷ
553,폭행하는 놈 누구냐?ㄷㄷㄷㄷㄷㄷㄷ
554,"진보 = 조작질, 거짓질, 괴담질, 선동질, 빨갱이질, 데모질."
555,가짜뉴스 잡는다며????? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 바이든 진실뉴스만 잡는거였군
556,기관단총 경호를 받아얄 판
557,"국민만나러 갈땐  기관다총 필수,    윤석렬이 너무 친국민적이었네."
558,문재앙 보수에 심어놓은 부하가 윤재앙이잖아
559,너 기억력 좋네  대구시장 기관총 경호 저거 정말 경악스러웠지 저런 공포분위기 조성하면서 문재인은 또 사람 좋은척 허허 사진포즈 취하면서 찰칵
560,시발 따발총들고 국민 만나러 다니네 헐~
561,https://v.daum.net/v/20230404092417046
562,좌파년넘들 경호원에 끌려나갔다고 피해자인척 코스프레 역겨워.
563,집단흉기상해 전과자 년넘이  대통령을 잡고 늘어지면  전기충격기로 지졌어야 정상이지.
564,거지새끼 오랜만이네. 구걸해서 밥 사먹었냐? ㅋ  - dc App
565,구걸 캡쳐한거 올려주까? ㅋ  - dc App
566,"====김정은 ""남조선 전 영토 평정 위한 대사변 준비에 계속 박차"" ...연합뉴스2023. 12. 31. — (서울=연합뉴스) 김지연 기자 = 김정은 북한 국무위원장은 노동당 연말 전원회의에서 핵무기 생산 확대를 향한 핵무력 증강 노선을 내년도 국방과제.====김정은 “남조선 전 영토 평정 위한 대사변 준비”…핵 개발 ...경향신문2023. 12. 31. — 김정은 북한 국무위원장이 한반도 안보 정세가 악화한 책임을 한·미에 돌리며 새해에 핵 무력을 강화와 군사정찰위성 3기 추가 발사를 공언했다"
567,"좌좀새끼들 종특은  자기들이 먼저 까불고 대들다가 머리통 한대 맞으면  아~  사람죽네,  정부가 군화발로  국민 죽인다,  이러는 넘들이지. ㅋㅋ"
568,2찍 선동 수준이 그냥 어나더 레벨이네 문통때 국힘의원이 저리 끌려나갔다면??? 에휴~ ㅆㅂㄹㄷ라  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
569,"진짜 윤석렬 각하 큰일날 뻔 했네,  폭력전과자 넘한테 말이야."
570,"역시 좌좀들은  범죄자, 전과자를 좋아하네."
571,진보당이 잘못했다~!!!!진보당이 잘못함~!!!!!신경쓰지마~!
572,영상을 보고 말해라 과거 전과 기록이 무슨상관. 개돼지 선동쑈.
573,나중에 알아낸 결과에 자신들 희망사항을 끼워맞춘다고 현실이 바뀌나.
574,데일리안 김 수현기자 한자리 줘라.
575,국짐갤 쉰천지발 사이버 여론 선동단
576,"2찍들 - 서현역 흉기난동 살인 최원종, 이재명 살인미수범 김진성"
577,그 청년은 경비아저씨 차로 들이받던 전과5범이 아니었잖아
578,그래요 이재명씨 지지자들 이재명연설하는데 또누가 뜬금없이 불청객이 나타나도 쫓아내지마세요 뭔되도않는 오마바 사례를ㅋㅋㅋ 아베도 가두연설하다가 암살당했는데
579,진짜 대통령과 가짜 대통령의 차이ㅋㅋㅋㅋ
580,어제 국회의원에게 하는 짓들을 보고 국민으로서 모욕감을 느꼈다
581,좌좀들 장애인비하하네. 왜 장애인이랑 전과5범을 동급취급해? 장애인은 배려해야하고 전과5범은 막는게 당연하지
582,돼로남불 인지장애정권 돼통령에 돼로남불 인지장애인단체 대표의 만남인데 제지할 필요가 있겟는가
583,1찍들아 잼대표한테 불청객 또누가 접근해도 막지마라는거야 뭐야
584,왜 경호처장도 차로 들이받게?
585,총알세례 안맞은걸 다행으로 알아야지경호처가 너무 무능했다총알을 쐈어야지
586,세월호 판박이
587,문재앙 정권넘들 세월호 진실 타령하더니 자기들이 정권잡은 5년동안 왜 세월호 진실 안밝히냐?  그리고 이태원 진실은 또 뭔데?   어차피 진실따위는 필요없지.  그냥 보수대통령 엿먹일려는 수작일뿐이야.
588,대구지하철참사특별법은 왜 안만드냐?
589,이태원 진실은 뭐냐?
590,대체 어디가 정상인가
591,님이 생각하는 정상이 대체 뭔데요
592,https://m.nocutnews.co.kr/news/amp/5872141
593,이게 정상인가
594,"진보 = 조작질, 거짓질, 괴담질, 선동질, 데모질, 폭동질, 빨갱이질."
595,야 나도 알바좀 소개해주라....같이먹고 살자
596,어디 정신병원인지 와이파이가 잘 터지나보네
597,비추 보소 ㅋㅋㅋㅋ
598,"재명이 얼른 감옥갔으면 좋겠다,  정의구현 되었으면 좋겠다."
599,멀쩡하네. 아무리 생각해봐도 결과론적으로 가장 큰 혜택은 이재명 본인이 받았다고 보인다. 재판 날짜만 늦춰짐
600,조카37회칼부림모녀 살인사건 데이트폭력으로 축소시킨것도 재판중
601,원래 좌파놈들이 노래만들고 포스터 만들고 소문내고 시나리오는 잘짬
602,자기도 권력과 싸우고있으면서 마찬가지로 권력과 싸우다 진 사람한테 한통속타령하는건 쫌......ㅎ 저방송은 아니올시다 히죄양반
603,이 ㅂ* 윤석열빠ㅋㅋ
604,변뚱에대해 잘 모르는 애들이 변뚱소송 많이 한다고 놀라던데 그거 대단해할 필요 없음 어짜피 다질 예정이야안정권같은애들 상대로나 푼돈소송이기는거지 이글처럼 변뚱이 태블릿 원고인 재판은 정작 다지고있어지금까지 틀려온것 몽땅 사죄없이는 모두 구독취소 슈퍼챗금지 하자꾸나 내돈 돌리도
605,방증
606,이재명 대체할 사람 키워야된다고 수박짓하던 어중이떠중이 듣고싶냐?
607,ㅇㄱㄹㅇ
608,팩폭
609,영끌5적 같은 분들?ㅋㅋㅋㅋㅋㅋ
610,현실은 검찰왕국의 최하층민일뿐ㅋㅋㅋㅋㅋㅋ
611,"2022년 12월이면 한동훈이 법무부 장관이었는데,김건희 주가 조작 의혹 재판에 제출되어진 의견서를 모를수가 있냐?국민들을 바보 멍청이로 아는군.ㅉㅉ  - dc App"
612,왜없냐 찢빠 문재앙빠 빼놓고는 다지
613,참 신기한 인간들이란 말이지. 그토록 원하는 보수가 집권해 경제.외교 다 폭망하고 나랏돈을 지돈인양 써제끼고 있는데도 그저 하는말은 이재명이가 대통되면 나라세금 다 퍼준다 이러고 있다. 근데 그 세금 니들한테 가는거 아니니? 정작 혜택받는 새키들이 왜 ㅈㄹ하는거지? 노예근성이 아직 남아서 우리는 입에 풀칠만 하면되고 남는돈은 모두 기득권이 가져야돼 이런 생각인가?
614,"절라도 좌좀들은  절대로 계몽이 안된다, 걸러야 한다."
615,저 빵팔이야말로 틈새시장 돈되는데만 찾아 오락가락 기웃거리는놈인데 ㅋㅋ이 모 기자 신당 입당은 잘되어가는중??
616,저거 변희재 따라다니더니 닭근hell 빠돌이였노
617,변희재 탈출은 지능순~
618,각이 날카롭기는 븅신 ㅋㅋㅋㅋㅋ
619,느그 킁킁이 원숭이 - dc App
620,국짐 더럽다
621,경상도 ㅇㅇ
622,ㅋㅋㅋㅋ아직도 기부했다고 욕하는 수준하고는 다른 대통령들 한테도 기부했다고 했잖아ㅋㅋ
623,ㅋㅋㅋ 아 웃겨 ㅋㅋㅋㅋ 저러니 더 못생겨 보이네ㅋㅋㅋㅋㅋㅋㅋㅋ
624,저놈 저러는거 어디 하루이틀이냐
625,저걸 저리 이해하는 우동사리란 ㅋㅋㅋㅋㅋ
626,변가 서서히 퇴출당하고 있는거 느꼈는지 요즘 몸사리더라  쫄보자식 ㅋㅋ
627,저놈이 뭐라 떠들어도 상대안하고 먹금하는이유가있음
628,이런게 바로 정의구현이지.
629,"윤석렬 정권 일 잘한다,  화이팅."
630,국힘당 헌동훈은 입 꾹 닫았나?ㅋㅋㅋㅋㅋㅋㅋㅋ도덕성 우월한 자칭 보수 왜 이러나?ㅋㅋㅋㅋㅋㅋ
631,수년간 태블릿 터진다터진다 말뿐인 변희재는 구독자들을 기만하는 행위 그만해야. 안그럼 후원금지 구독취소로 보답하는 수밖에
632,변희재 퇴출 기원
633,최순실 모녀한테 쎈 척하다 역으로 당해버림ㅋㅋㅋ 살아생전 의뢰인 업신여기는 대리인은 처음봤다
634,ㅋㅋㅋㅋㅋㅋ 변변변 말엔 진실이 없어요~ 그냥 생계형
635,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 부러우면 니도 해달라그래
636,광주니까
637,'조선민주주의' 민주화의 성지 광주
638,빨갱이 정율성을 모시는 절라도 광주를 어떻게 믿어?
639,이태원 참사 때는 인원 없어서 못보낸거다 뭐다 말 많던 경찰이 동훈이 한테는 400명이나 붙여줬구나. 그렇구나.
